网点名称,省份,城市,区,标准化详细地址,完整标准地址,完整地址,经度,纬度
南山后海,广东,深圳市,南山区,南山区粤海街道创业路观海台花园C1,广东深圳市南山区粤海街道创业路观海台花园C1,广东深圳市南山区粤海街道创业路观海台花园C1,113.937681,22.514616
南山后海,广东,深圳市,南山区,南山区粤海街道中心路深圳湾1号湾汇楼DEJEWELHOUSE,广东深圳市南山区粤海街道中心路深圳湾1号湾汇楼,广东深圳市南山区粤海街道中心路深圳湾1号湾汇楼,113.942713,22.506899
南山后海,广东,深圳市,南山区,创业路海岸明珠花园G栋,广东深圳市南山区创业路海岸明珠花园G栋,广东深圳市南山区创业路海岸明珠花园G栋,113.935075,22.516965
南山后海,广东,深圳市,南山区,茂业百货楼NBKIDS,广东深圳市南山区茂业百货楼NBKIDS,广东深圳市南山区茂业百货楼NBKIDS,113.930478,22.533191
南山后海,广东,深圳市,南山区,后海大道蔚蓝海岸四期东座,广东深圳市南山区后海大道蔚蓝海岸四期东座,广东深圳市南山区后海大道蔚蓝海岸四期东座,113.923154,22.506107
南山后海,广东,深圳市,南山区,阳光金融大厦302,广东深圳市南山区阳光金融大厦302,广东深圳市南山区阳光金融大厦302,113.943435,22.52004
南山后海,广东,深圳市,南山区,粤海街道粤海街道茂业百货南山店楼EF旁边YAGE女装,广东深圳市南山区粤海街道粤海街道茂业百货南山店楼EF旁边YAGE女装,广东深圳市南山区粤海街道粤海街道茂业百货南山店楼EF旁边YAGE女装,113.930332,22.51973
南山后海,广东,深圳市,南山区,粤海街道航天科技广场A座,广东深圳市南山区粤海街道航天科技广场A座,广东深圳市南山区粤海街道航天科技广场A座,113.941894,22.51978
南山后海,广东,深圳市,南山区,后海大道2248育德佳园8A,广东深圳市南山区后海大道2248育德佳园8A,广东深圳市南山区后海大道2248育德佳园8A,113.932813,22.510584
南山后海,广东,深圳市,南山区,南海大道保利大厦,广东深圳市南山区南海大道保利大厦,广东深圳市南山区南海大道保利大厦,113.927804,22.515439
南山后海,广东,深圳市,南山区,创业路海王大厦B座,广东深圳市南山区创业路海王大厦B座,广东深圳市南山区创业路海王大厦B座,113.926181,22.515944
南山后海,广东,深圳市,南山区,南山茂业百货楼,广东深圳市南山区南山茂业百货楼,广东深圳市南山区南山茂业百货楼,113.930478,22.533191
南山后海,广东,深圳市,南山区,南山茂业百货楼曼娅奴转柜,广东深圳市南山区南山茂业百货楼曼娅奴转柜,广东深圳市南山区南山茂业百货楼曼娅奴转柜,113.930478,22.533191
南山后海,广东,深圳市,南山区,海印长城一期六栋C,广东深圳市南山区海印长城一期六栋C,广东深圳市南山区海印长城一期六栋C,113.93157,22.518064
南山后海,广东,深圳市,南山区,粤海街道浪琴屿16栋,广东深圳市南山区粤海街道浪琴屿16栋,广东深圳市南山区粤海街道浪琴屿16栋,113.935494,22.513827
南山后海,广东,深圳市,南山区,海德一道223号佳嘉豪苑A座,广东深圳市南山区海德一道223号佳嘉豪苑A座,广东深圳市南山区海德一道223号佳嘉豪苑A座,113.930321,22.516067
南山后海,广东,深圳市,南山区,海德二道茂业百货楼,广东深圳市南山区海德二道茂业百货楼,广东深圳市南山区海德二道茂业百货楼,113.930719,22.518781
南山后海,广东,深圳市,南山区,粤海街道乐信中建八局项目部,广东深圳市南山区粤海街道乐信中建八局项目部,广东深圳市南山区粤海街道乐信中建八局项目部,113.944859,22.528137
